,flow_rate_mL_min,date
H1-1,12.452738478052794,2020-09-04
H2-1,14.854173533651217,2020-09-04
H3-1,12.431012162845427,2020-09-04
H4-1,13.142403989792548,2020-09-04
H5-1,13.314005483664202,2020-09-04
H6-1,13.730950088204184,2020-09-04
H7-1,12.915779927491725,2020-09-04
H8-1,11.914201006445735,2020-09-04
M1-1-1,11.095522827279858,2020-09-04
M1-2-1,11.99468025434758,2020-09-04
M1-3-1,11.540314216826044,2020-09-04
M1-4-1,11.605872255044464,2020-09-04
M2-1-1,12.194322146755557,2020-09-04
M2-2-1,14.484262863174028,2020-09-04
M2-3-1,12.959534347914637,2020-09-04
M2-4-1,14.827511637169629,2020-09-04
M3-1-1,13.589606074399887,2020-08-02
M3-2-1,14.041585149039626,2020-08-02
M3-3-1,13.828911565852128,2020-08-02
M3-4-1,13.927420194659526,2020-08-02
H9-1,14.577984705573224,2020-09-07
H10-1,13.993891805575693,2020-09-07
H11-1,14.189673982901796,2020-09-07
H12-1,15.087326582281165,2020-09-07
M4-1-1,11.582995355727896,2020-09-07
M4-2-1,12.163875391594717,2020-09-07
M4-3-1,11.48034647333196,2020-09-07
M4-4-1,12.073184501442904,2020-09-07
H13-1,14.032476744272179,2020-09-07
H14-1,4.728910276889912,2020-08-07
H15-1,3.748662972174323,2020-08-17
H16-1,12.574436432756857,2020-09-07
M6-1-1,11.165508414791033,2020-09-07
M6-2-1,11.502586641073217,2020-09-07
M6-3-1,12.300371179237013,2020-09-07
M6-4-1,12.119906502533457,2020-09-07
H14-2,11.95468129175926,2020-09-07
H15-2,12.448115355317459,2020-09-07
